variable,VARNUM,Merged1996_97,Merged1997_98,Merged1998_99,Merged1999_00,Merged2000_01,Merged2001_02,Merged2002_03,Merged2003_04,Merged2004_05,Merged2005_06,Merged2006_07,Merged2007_08,Merged2008_09,Merged2009_10,Merged2010_11,Merged2011_12,Merged2012_13,Merged2013_14,Merged2014_15,Merged2015_16,Merged2016_17,Merged2017_18,Merged2018_19,Merged2019_20,Merged2020_21,Merged2021_22,Most_recent,Drawn_From
UNITID,1,"AcadYr 1996-97, reported in IPEDS DCY1996-97","AcadYr 1997-98, reported in IPEDS DCY1997-98","AcadYr 1998-99, reported in IPEDS DCY1998-99","AcadYr 1999-00, reported in IPEDS DCY1999-00","AcadYr 2000-01, reported in IPEDS DCY2000-01","AcadYr 2001-02, reported in IPEDS DCY2001-02","AcadYr 2002-03, reported in IPEDS DCY2002-03","AcadYr 2003-04, reported in IPEDS DCY2003-04","AcadYr 2004-05, reported in IPEDS DCY2004-05","AcadYr 2005-06, reported in IPEDS DCY2005-06","AcadYr 2006-07, reported in IPEDS DCY2006-07","AcadYr 2007-08, reported in IPEDS DCY2007-08","AcadYr 2008-09, reported in IPEDS DCY2008-09","AcadYr 2009-10, reported in IPEDS DCY2009-10","AcadYr 2010-11, reported in IPEDS DCY2010-11","AcadYr 2011-12, reported in IPEDS DCY2011-12","AcadYr 2012-13, reported in IPEDS DCY2012-13","AcadYr 2013-14, reported in IPEDS DCY2013-14","AcadYr 2014-15, reported in IPEDS DCY2014-15","AcadYr 2015-16, reported in IPEDS DCY2015-16","AcadYr 2016-17, reported in IPEDS DCY2016-17","AcadYr 2017-18, reported in IPEDS DCY2017-18","AcadYr 2018-19, reported in IPEDS DCY2018-19","AcadYr 2019-20, reported in IPEDS DCY2019-20","AcadYr 2020-21, reported in IPEDS DCY2020-21","AcadYr 2021-22, reported in IPEDS DCY2021-22","AcadYr 2021-22, reported in IPEDS DCY2021-22",2021_22
OPEID,2,"AcadYr 1996-97, reported in IPEDS DCY1996-97","AcadYr 1997-98, reported in IPEDS DCY1997-98","AcadYr 1998-99, reported in IPEDS DCY1998-99","AcadYr 1999-00, reported in IPEDS DCY1999-00","AcadYr 2000-01, reported in IPEDS DCY2000-01","AcadYr 2001-02, reported in IPEDS DCY2001-02","AcadYr 2002-03, reported in IPEDS DCY2002-03","AcadYr 2003-04, reported in IPEDS DCY2003-04","AcadYr 2004-05, reported in IPEDS DCY2004-05","AcadYr 2005-06, reported in IPEDS DCY2005-06","AcadYr 2006-07, reported in IPEDS DCY2006-07","AcadYr 2007-08, reported in IPEDS DCY2007-08","AcadYr 2008-09, reported in IPEDS DCY2008-09","AcadYr 2009-10, reported in IPEDS DCY2009-10","AcadYr 2010-11, reported in IPEDS DCY2010-11","AcadYr 2011-12, reported in IPEDS DCY2011-12","AcadYr 2012-13, reported in IPEDS DCY2012-13","AcadYr 2013-14, reported in IPEDS DCY2013-14","AcadYr 2014-15, reported in IPEDS DCY2014-15","AcadYr 2015-16, reported in IPEDS DCY2015-16","AcadYr 2016-17, reported in IPEDS DCY2016-17","AcadYr 2017-18, reported in IPEDS DCY2017-18","AcadYr 2018-19, reported in IPEDS DCY2018-19","AcadYr 2019-20, reported in IPEDS DCY2019-20","AcadYr 2020-21, reported in IPEDS DCY2020-21","AcadYr 2021-22, reported in IPEDS DCY2021-22","AcadYr 2021-22, reported in IPEDS DCY2021-22",2021_22
OPEID6,3,"AcadYr 1996-97, reported in IPEDS DCY1996-97","AcadYr 1997-98, reported in IPEDS DCY1997-98","AcadYr 1998-99, reported in IPEDS DCY1998-99","AcadYr 1999-00, reported in IPEDS DCY1999-00","AcadYr 2000-01, reported in IPEDS DCY2000-01","AcadYr 2001-02, reported in IPEDS DCY2001-02","AcadYr 2002-03, reported in IPEDS DCY2002-03","AcadYr 2003-04, reported in IPEDS DCY2003-04","AcadYr 2004-05, reported in IPEDS DCY2004-05","AcadYr 2005-06, reported in IPEDS DCY2005-06","AcadYr 2006-07, reported in IPEDS DCY2006-07","AcadYr 2007-08, reported in IPEDS DCY2007-08","AcadYr 2008-09, reported in IPEDS DCY2008-09","AcadYr 2009-10, reported in IPEDS DCY2009-10","AcadYr 2010-11, reported in IPEDS DCY2010-11","AcadYr 2011-12, reported in IPEDS DCY2011-12","AcadYr 2012-13, reported in IPEDS DCY2012-13","AcadYr 2013-14, reported in IPEDS DCY2013-14","AcadYr 2014-15, reported in IPEDS DCY2014-15","AcadYr 2015-16, reported in IPEDS DCY2015-16","AcadYr 2016-17, reported in IPEDS DCY2016-17","AcadYr 2017-18, reported in IPEDS DCY2017-18","AcadYr 2018-19, reported in IPEDS DCY2018-19","AcadYr 2019-20, reported in IPEDS DCY2019-20","AcadYr 2020-21, reported in IPEDS DCY2020-21","AcadYr 2021-22, reported in IPEDS DCY2021-22","AcadYr 2021-22, reported in IPEDS DCY2021-22",2021_22
INSTNM,4,"AcadYr 1996-97, reported in IPEDS DCY1996-97, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1997-98, reported in IPEDS DCY1997-98, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1998-99, reported in IPEDS DCY1998-99, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1999-00, reported in IPEDS DCY1999-00, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2000-01, reported in IPEDS DCY2000-01, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2001-02, reported in IPEDS DCY2001-02, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2002-03, reported in IPEDS DCY2002-03, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2003-04, reported in IPEDS DCY2003-04, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2004-05, reported in IPEDS DCY2004-05, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2005-06, reported in IPEDS DCY2005-06, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2006-07, reported in IPEDS DCY2006-07, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2007-08, reported in IPEDS DCY2007-08, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2008-09, reported in IPEDS DCY2008-09, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2009-10, reported in IPEDS DCY2009-10, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2010-11, reported in IPEDS DCY2010-11, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2011-12, reported in IPEDS DCY2011-12, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2012-13, reported in IPEDS DCY2012-13, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2013-14, reported in IPEDS DCY2013-14, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2014-15, reported in IPEDS DCY2014-15, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2015-16, reported in IPEDS DCY2015-16, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2017-18, reported in IPEDS DCY2017-18, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2019-20, reported in IPEDS DCY2019-20, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2020-21, reported in IPEDS DCY2020-21, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.",2021_22
CITY,5,"AcadYr 1996-97, reported in IPEDS DCY1996-97, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1997-98, reported in IPEDS DCY1997-98, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1998-99, reported in IPEDS DCY1998-99, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1999-00, reported in IPEDS DCY1999-00, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2000-01, reported in IPEDS DCY2000-01, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2001-02, reported in IPEDS DCY2001-02, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2002-03, reported in IPEDS DCY2002-03, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2003-04, reported in IPEDS DCY2003-04, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2004-05, reported in IPEDS DCY2004-05, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2005-06, reported in IPEDS DCY2005-06, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2006-07, reported in IPEDS DCY2006-07, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2007-08, reported in IPEDS DCY2007-08, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2008-09, reported in IPEDS DCY2008-09, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2009-10, reported in IPEDS DCY2009-10, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2010-11, reported in IPEDS DCY2010-11, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2011-12, reported in IPEDS DCY2011-12, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2012-13, reported in IPEDS DCY2012-13, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2013-14, reported in IPEDS DCY2013-14, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2014-15, reported in IPEDS DCY2014-15, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2015-16, reported in IPEDS DCY2015-16, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2017-18, reported in IPEDS DCY2017-18, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2019-20, reported in IPEDS DCY2019-20, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2020-21, reported in IPEDS DCY2020-21, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.",2021_22
STABBR,6,"AcadYr 1996-97, reported in IPEDS DCY1996-97, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1997-98, reported in IPEDS DCY1997-98, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1998-99, reported in IPEDS DCY1998-99, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1999-00, reported in IPEDS DCY1999-00, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2000-01, reported in IPEDS DCY2000-01, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2001-02, reported in IPEDS DCY2001-02, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2002-03, reported in IPEDS DCY2002-03, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2003-04, reported in IPEDS DCY2003-04, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2004-05, reported in IPEDS DCY2004-05, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2005-06, reported in IPEDS DCY2005-06, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2006-07, reported in IPEDS DCY2006-07, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2007-08, reported in IPEDS DCY2007-08, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2008-09, reported in IPEDS DCY2008-09, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2009-10, reported in IPEDS DCY2009-10, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2010-11, reported in IPEDS DCY2010-11, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2011-12, reported in IPEDS DCY2011-12, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2012-13, reported in IPEDS DCY2012-13, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2013-14, reported in IPEDS DCY2013-14, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2014-15, reported in IPEDS DCY2014-15, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2015-16, reported in IPEDS DCY2015-16, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2017-18, reported in IPEDS DCY2017-18, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2019-20, reported in IPEDS DCY2019-20, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2020-21, reported in IPEDS DCY2020-21, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.",2021_22
ZIP,7,"AcadYr 1996-97, reported in IPEDS DCY1996-97, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1997-98, reported in IPEDS DCY1997-98, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1998-99, reported in IPEDS DCY1998-99, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 1999-00, reported in IPEDS DCY1999-00, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2000-01, reported in IPEDS DCY2000-01, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2001-02, reported in IPEDS DCY2001-02, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2002-03, reported in IPEDS DCY2002-03, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2003-04, reported in IPEDS DCY2003-04, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2004-05, reported in IPEDS DCY2004-05, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2005-06, reported in IPEDS DCY2005-06, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2006-07, reported in IPEDS DCY2006-07, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2007-08, reported in IPEDS DCY2007-08, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2008-09, reported in IPEDS DCY2008-09, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2009-10, reported in IPEDS DCY2009-10, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2010-11, reported in IPEDS DCY2010-11, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2011-12, reported in IPEDS DCY2011-12, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2012-13, reported in IPEDS DCY2012-13, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2013-14, reported in IPEDS DCY2013-14, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2014-15, reported in IPEDS DCY2014-15, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2015-16, reported in IPEDS DCY2015-16, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2016-17, reported in IPEDS DCY2016-17, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2017-18, reported in IPEDS DCY2017-18, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2019-20, reported in IPEDS DCY2019-20, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2020-21, reported in IPEDS DCY2020-21, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.","AcadYr 2021-22, reported in IPEDS DCY2021-22, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included.",2021_22
ACCREDAGENCY,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PEPS as of March 21, 2023","PEPS as of March 21, 2023",2021_22
INSTURL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AcadYr 2022-23, reported in IPEDS DCY2022-23 if data was provided; otherwise AcadYr 2021-22, reported in IPEDS DCY2021-22","AcadYr 2022-23, reported in IPEDS DCY2022-23 if data was provided; otherwise AcadYr 2021-22, reported in IPEDS DCY2021-22",2021_22
NPCURL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AcadYr 2022-23, reported in IPEDS DCY2022-23 if data was provided; otherwise AcadYr 2021-22, reported in IPEDS DCY2021-22","AcadYr 2022-23, reported in IPEDS DCY2022-23 if data was provided; otherwise AcadYr 2021-22, reported in IPEDS DCY2021-22",2021_22
